Recombinant ternary DES;Profile-Hydrogen donor;Profile-Hydrogen accept;LCCs interaction potential;Cosmovolume;Density;Solubility (log);Formula weight;Viscosity (In);Time;Temperature;Predicted delignification
cholinechloride[1]Levulinicacid[2]butanediol[1];  0.0133865;  0.0214165;  -15.791252;  191.29743708;  1.00253781;  -1.49321183666667;  115.4943725;  8.36666757226213;  2;  120;  35.3
cholinechloride[1]Levulinicacid[2]glycerol[1];  0.016873;  0.029004;  -15.171062;  185.02998177;  1.04092252;  -1.72772587222222;  115.9875625;  10.5185771976051;  2;  120;  32.05
cholinechloride[1]Levulinicacid[2]glycol[1];  0.0114805;  0.0206165;  -15.24592;  176.060015165;  1.02315676;  -1.68324236666667;  108.481035;  8.1346278921848;  2;  120;  53.66
cholinechloride[1]Levulinicacid[2]propanediol[1];  0.0136395;  0.0220195;  -15.34795;  183.3981839575;  1.01396835;  -1.66319362;  111.987705;  8.13881806360881;  2;  120;  40.09
cholinechloride[1]Levulinicacid[2]xylitol[1];  0.0250575;  0.0399735;  -15.121058;  203.55225183;  1.06867711;  -1.9309958;  131.0006125;  15.6856783577345;  2;  120;  26.75
cholinechloride[1]Levulinicacid[5]benzylalcohol[1];  0.027921;  0.0142461428571429;  -16.538758;  202.300861865;  1.25614186;  -1.36700366222222;  153.033788333333;  19.094790504309;  2;  120;  57.49
cholinechloride[1]Levulinicacid[5]butanediol[1];  0.0397667857142857;  0.0186460714285714;  -16.305876;  254.072385528333;  1.29879469;  -1.46728987777778;  198.72334;  19.4393207435355;  2;  120;  60.26
cholinechloride[1]Levulinicacid[5]glycerol[1];  0.0263252857142857;  0.0134057857142857;  -16.003738;  185.634219638333;  1.23462846;  -1.55947184444444;  138.021018333333;  20.5557677758206;  2;  120;  47.79
cholinechloride[1]Levulinicacid[5]glycol[1];  0.0292665714285714;  0.0144222857142857;  -16.054898;  146.118848301667;  1.15537878;  -1.53885615111111;  101.667358333333;  19.3327730393387;  2;  120;  66.9
cholinechloride[1]Levulinicacid[5]propanediol[1];  0.0389964285714286;  0.0174478571428571;  -16.110386;  248.31340344;  1.2954514;  -1.53295897;  193.71899;  19.3236008611094;  2;  120;  60.9
cholinechloride[1]Levulinicacid[5]xylitol[1];  0.0273012142857143;  0.0149087142857143;  -15.97511;  182.122368296667;  1.23105671;  -1.64083419666667;  135.018183333333;  23.2253106763863;  2;  120;  47.14
cholinechloride[1]maleicacid[2]benzylalcohol[1];  0.006555;  0.010896;  -17.855924;  178.13233948;  1.11841897;  -2.24377138;  119.9770575;  18.2473838155023;  2;  120;  70.4
cholinechloride[1]maleicacid[2]butanediol[1];  0.0133865;  0.0214165;  -17.313776;  172.7168681825;  1.11018165;  -2.45566493444444;  115.4728025;  18.7748391130996;  2;  120;  70.77
cholinechloride[1]maleicacid[2]glycerol[1];  0.016873;  0.029004;  -16.567898;  166.4494128725;  1.1569044;  -2.80026110111111;  115.9659925;  20.9267487384426;  2;  120;  71.01
